dataset,num_nodes,num_edges,layers,hidden,feature_dim,epochs,warmup_epochs,backend,device,repeat_runs,segment_timing,exclude_preprocess,backend_warmup_iters,preprocess_sec_excluded,train_time_sec,train_time_std_sec,time_per_epoch_ms,time_per_epoch_std_ms,forward_ms_per_epoch,backward_ms_per_epoch,zero_grad_ms_per_epoch,step_ms_per_epoch
DD,334925,1686092,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.269258,0.000103,22.692584,0.001027,9.200599,13.377981,0.002386,0.064415
ddi,4267,2140089,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,1.981351,0.000631,19.813515,0.006314,7.769313,11.928607,0.002360,0.064481
OVCAR-8H,1889542,3946402,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,7.569405,0.010720,75.694050,0.107201,31.784576,43.794156,0.002355,0.065004
web-BerkStan,685230,7600595,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,10.544529,0.000905,105.445295,0.009052,53.789348,51.539507,0.002314,0.064722
Yeast,1710902,3636546,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,6.951095,0.004473,69.510952,0.044732,29.120246,40.272845,0.002417,0.064261
YeastH,3138114,6487230,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,12.674277,0.010663,126.742768,0.106632,53.397990,73.225615,0.002340,0.065044
mip1,66463,10352819,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,10.056886,0.021432,100.568860,0.214322,41.642972,58.809574,0.002360,0.064927
dc2,116835,766396,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,1.236277,0.000209,12.362765,0.002093,5.807570,6.443433,0.002319,0.063565
ASIC_680k,682862,3871773,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,6.315102,0.000711,63.151018,0.007111,30.102011,32.930325,0.002340,0.064000
pwtk,217918,11634424,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,11.222663,0.002860,112.226631,0.028595,43.502428,68.608481,0.002335,0.064005
rma10,46835,2374001,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.277243,0.000859,22.772427,0.008594,9.006874,13.647903,0.002350,0.063744
shipsec1,140874,7813404,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,7.461419,0.001391,74.614192,0.013909,29.151944,45.345792,0.002324,0.063862
scircuit,170998,958936,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,1.266443,0.000154,12.664427,0.001542,5.102367,7.450122,0.002335,0.063713
conf5_4-8x8-10,49152,1916928,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,1.866027,0.000289,18.660268,0.002889,7.328609,11.218499,0.002340,0.064512
mc2depi,525825,2100225,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,3.075504,0.000049,30.755043,0.000493,12.516598,18.124887,0.002335,0.063734
cop20k_A,121192,2624331,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.708005,0.000087,27.080048,0.000870,10.820014,16.146099,0.002309,0.064440
webbase-1M,1000005,3105536,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.126638,0.000500,51.266378,0.005002,21.716301,29.429770,0.002345,0.065091
mac_econ_fwd500,206500,1273389,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,1.622704,0.000300,16.227039,0.003004,6.573778,9.538012,0.002324,0.064922
pdb1HYS,36417,4344765,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,4.036699,0.000178,40.366989,0.001782,15.934945,24.317425,0.002309,0.064113
consph,83334,6010480,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.639401,0.000146,56.394015,0.001462,22.073897,34.205834,0.002355,0.063544
cant,62451,4007383,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,3.786959,0.000430,37.869594,0.004299,14.937472,22.817275,0.002324,0.063519
eu-2005,862664,19235140,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,27.128966,0.003922,271.289659,0.039217,125.803254,145.367864,0.002278,0.063693
Si41Ge41H72,185639,15011265,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,14.474771,0.004103,144.747705,0.041031,57.185987,87.445417,0.002324,0.064056
Ga41As41H72,268096,18488476,3,128,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,20.301239,0.014739,203.012388,0.147388,70.400563,132.493061,0.002340,0.064799
DD,334925,1686092,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,4.029462,0.003590,40.294620,0.035899,15.226511,24.866115,0.002360,0.150651
ddi,4267,2140089,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.890532,0.000377,28.905318,0.003772,10.340316,18.364032,0.002371,0.148649
OVCAR-8H,1889542,3946402,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,15.570018,0.022865,155.700184,0.228648,61.355971,94.141860,0.002545,0.149760
web-BerkStan,685230,7600595,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,18.755064,0.022727,187.550645,0.227272,97.731139,89.617075,0.002371,0.148915
Yeast,1710902,3636546,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,14.186897,0.017936,141.868971,0.179360,55.732460,85.933117,0.002463,0.149985
YeastH,3138114,6487230,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,25.861992,0.000078,258.619922,0.000784,102.495206,155.917348,0.002509,0.150400
mip1,66463,10352819,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,18.143606,0.002506,181.436058,0.025055,59.871503,121.363001,0.002386,0.147395
dc2,116835,766396,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.135182,0.000804,21.351820,0.008037,10.143099,11.003960,0.002355,0.148045
ASIC_680k,682862,3871773,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,11.300949,0.000424,113.009488,0.004239,53.391012,59.419331,0.002335,0.147779
pwtk,217918,11634424,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,20.450198,0.009849,204.501975,0.098493,61.424768,142.874255,0.002483,0.148726
rma10,46835,2374001,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,3.471515,0.000977,34.715149,0.009768,12.482028,22.034109,0.002345,0.148424
shipsec1,140874,7813404,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,11.714463,0.003763,117.144631,0.037631,40.949181,75.990149,0.002473,0.149985
scircuit,170998,958936,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.255122,0.000389,22.551224,0.003890,8.492918,13.859763,0.002396,0.148244
conf5_4-8x8-10,49152,1916928,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.849598,0.000495,28.495981,0.004946,10.112394,18.185882,0.002391,0.147891
mc2depi,525825,2100225,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.627909,0.000269,56.279093,0.002688,21.472840,34.602097,0.002386,0.149975
cop20k_A,121192,2624331,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,4.395622,0.000538,43.956217,0.005381,16.160620,27.596134,0.002401,0.148541
webbase-1M,1000005,3105536,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,10.042745,0.000080,100.427450,0.000796,40.873764,59.353052,0.002330,0.149990
mac_econ_fwd500,206500,1273389,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,2.823112,0.000764,28.231119,0.007643,10.484004,17.542124,0.002391,0.149719
pdb1HYS,36417,4344765,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,6.096657,0.001557,60.966572,0.015570,21.654518,39.109949,0.002355,0.149386
consph,83334,6010480,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,8.736362,0.001299,87.363623,0.012994,30.429768,56.730860,0.002381,0.150149
cant,62451,4007383,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.782285,0.004415,57.822855,0.044146,20.479677,37.143485,0.002365,0.149161
eu-2005,862664,19235140,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,46.883865,0.010371,468.838647,0.103706,212.466483,256.166498,0.002335,0.147692
Si41Ge41H72,185639,15011265,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,26.425879,0.006909,264.258787,0.069085,82.676808,181.379487,0.002432,0.147814
Ga41As41H72,268096,18488476,3,256,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,33.269161,0.005405,332.691612,0.054046,103.976740,228.510146,0.002483,0.148296
DD,334925,1686092,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,9.085873,0.007208,90.858725,0.072080,33.025976,57.627960,0.002371,0.151588
ddi,4267,2140089,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.278044,0.000255,52.780437,0.002547,17.518551,35.059927,0.002412,0.151076
OVCAR-8H,1889542,3946402,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,38.398206,0.007723,383.982057,0.077234,144.102144,239.669939,0.002478,0.151450
web-BerkStan,685230,7600595,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,38.713383,0.052013,387.133828,0.520134,159.687701,227.235973,0.002309,0.150298
Yeast,1710902,3636546,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,34.920522,0.005847,349.205223,0.058469,131.147366,217.849431,0.002437,0.151173
YeastH,3138114,6487230,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,67.580726,0.017588,675.807265,0.175880,239.236510,436.350679,0.002468,0.154921
mip1,66463,10352819,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,34.308620,0.029040,343.086199,0.290404,104.914120,237.965445,0.002458,0.149642
dc2,116835,766396,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,4.018045,0.000202,40.180448,0.002024,16.916951,23.064136,0.002386,0.148628
ASIC_680k,682862,3871773,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,21.970059,0.014687,219.700585,0.146872,91.730488,127.766774,0.002319,0.149048
pwtk,217918,11634424,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,40.267738,0.018893,402.677376,0.188933,111.299748,291.169418,0.002545,0.150185
rma10,46835,2374001,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,6.543928,0.001409,65.439278,0.014091,22.385710,42.849613,0.002319,0.150625
shipsec1,140874,7813404,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,26.022911,0.000297,260.229113,0.002968,74.455731,185.567038,0.002570,0.149233
scircuit,170998,958936,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,4.950419,0.000425,49.504191,0.004249,18.214277,31.087985,0.002381,0.150968
conf5_4-8x8-10,49152,1916928,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,5.477499,0.000298,54.774991,0.002981,18.831498,35.738240,0.002304,0.151342
mc2depi,525825,2100225,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,13.128284,0.007467,131.282839,0.074669,47.812280,83.263591,0.002437,0.151788
cop20k_A,121192,2624331,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,8.819446,0.002306,88.194464,0.023065,31.182515,56.803681,0.002406,0.151363
webbase-1M,1000005,3105536,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,23.512423,0.020634,235.124232,0.206338,91.019597,143.896069,0.002391,0.150866
mac_econ_fwd500,206500,1273389,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,6.227613,0.000037,62.276127,0.000368,22.406072,39.667425,0.002284,0.151332
pdb1HYS,36417,4344765,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,13.610898,0.008250,136.108984,0.082497,37.987497,97.917578,0.002504,0.150098
consph,83334,6010480,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,19.503086,0.001875,195.030864,0.018751,54.885069,139.938595,0.002422,0.151670
cant,62451,4007383,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,10.849680,0.000900,108.496804,0.009003,36.038241,72.251556,0.002406,0.151368
eu-2005,862664,19235140,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,90.139484,0.005083,901.394842,0.050831,345.611966,555.566668,0.002376,0.148936
Si41Ge41H72,185639,15011265,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,53.774038,0.007572,537.740383,0.075718,154.189311,383.340953,0.002493,0.150426
Ga41As41H72,268096,18488476,3,512,128,100,30,pyg,cuda:0,2,1,1,2,0.000000,67.729221,0.017438,677.292208,0.174381,188.972651,488.093541,0.002447,0.150323
