file_name,duration,unit
plan_1014,"217.50","us"
plan_1004,"408.03","us"
plan_1005,"417.82","us"
plan_0,"210.98","us"
plan_1026,"205.63","us"
plan_1017,"183.23","us"
plan_1008,"212.77","us"
plan_1009,"208.74","us"
plan_1000,"234.02","us"
plan_1002,"238.08","us"
plan_10,"188.86","us"
plan_103,"174.82","us"
plan_100,"174.27","us"
plan_1018,"188.67","us"
plan_1,"207.97","us"
plan_1003,"239.62","us"
plan_1027,"227.36","us"
plan_1020,"200.16","us"
plan_102,"175.90","us"
plan_1029,"228.51","us"
plan_1011,"211.20","us"
plan_1012,"211.01","us"
plan_1030,"231.49","us"
plan_1021,"198.78","us"
plan_1023,"192.42","us"
plan_101,"182.98","us"
plan_1001,"421.38","us"
plan_1019,"185.28","us"
plan_1010,"214.05","us"
plan_1006,"410.27","us"
plan_1028,"208.06","us"
plan_1032,"210.50","us"
plan_1024,"190.30","us"
plan_1007,"413.06","us"
plan_1013,"216.06","us"
plan_1033,"214.50","us"
plan_1035,"191.87","us"
plan_1022,"188.58","us"
plan_1031,"215.97","us"
plan_1036,"190.27","us"
plan_1015,"219.10","us"
plan_1038,"191.10","us"
plan_1044,"182.78","us"
plan_1039,"191.14","us"
plan_1045,"177.02","us"
plan_1016,"220","us"
plan_1025,"197.18","us"
plan_1047,"178.27","us"
plan_1041,"201.06","us"
plan_1048,"177.98","us"
plan_1037,"309.47","us"
plan_1054,"203.84","us"
plan_1053,"210.62","us"
plan_1062,"216.45","us"
plan_104,"186.46","us"
plan_1046,"185.02","us"
plan_1056,"204.10","us"
plan_1040,"312.54","us"
plan_1063,"210.34","us"
plan_1034,"220.83","us"
plan_105,"185.60","us"
plan_1066,"212.70","us"
plan_1057,"204.83","us"
plan_1042,"203.30","us"
plan_1043,"312.70","us"
plan_1050,"187.97","us"
plan_1065,"216.13","us"
plan_1055,"208.16","us"
plan_1049,"188.06","us"
plan_1059,"211.74","us"
plan_1064,"368.42","us"
plan_1071,"186.18","us"
plan_1051,"188.26","us"
plan_1074,"179.68","us"
plan_1058,"214.43","us"
plan_106,"186.37","us"
plan_1075,"180.48","us"
plan_1072,"179.33","us"
plan_1052,"192.19","us"
plan_1060,"213.38","us"
plan_1080,"180.06","us"
plan_108,"209.31","us"
plan_1068,"371.01","us"
plan_1067,"369.31","us"
plan_1069,"368.93","us"
plan_1073,"187.74","us"
plan_1089,"183.49","us"
plan_1081,"187.81","us"
plan_1061,"216.45","us"
plan_1083,"199.04","us"
plan_109,"199.71","us"
plan_1084,"198.69","us"
plan_1077,"194.91","us"
plan_1090,"203.49","us"
plan_107,"190.24","us"
plan_1076,"190.98","us"
plan_1070,"374.62","us"
plan_1092,"204.10","us"
plan_1098,"212.77","us"
plan_1082,"181.70","us"
plan_1099,"211.07","us"
plan_1078,"193.25","us"
plan_1093,"205.66","us"
plan_1086,"191.36","us"
plan_1101,"212.22","us"
plan_1107,"181.98","us"
plan_1091,"188.10","us"
plan_1085,"186.98","us"
plan_1087,"194.02","us"
plan_1079,"200.74","us"
plan_1102,"213.06","us"
plan_1100,"354.40","us"
plan_1095,"195.68","us"
plan_110,"206.91","us"
plan_111,"201.89","us"
plan_1116,"190.40","us"
plan_1110,"177.50","us"
plan_11,"184.10","us"
plan_1108,"176.19","us"
plan_1088,"194.82","us"
plan_1094,"193.60","us"
plan_1096,"198.11","us"
plan_1111,"177.63","us"
plan_1104,"223.74","us"
plan_1117,"182.88","us"
plan_1103,"356.32","us"
plan_1109,"182.27","us"
plan_1125,"206.21","us"
plan_1097,"202.40","us"
plan_112,"203.14","us"
plan_1119,"181.63","us"
plan_1120,"182.98","us"
plan_1105,"224.61","us"
plan_1113,"187.04","us"
plan_1128,"202.53","us"
plan_1112,"188.35","us"
plan_1118,"189.89","us"
plan_1134,"238.94","us"
plan_1114,"189.66","us"
plan_1106,"361.38","us"
plan_1126,"202.72","us"
plan_1122,"193.92","us"
plan_1129,"202.59","us"
plan_1135,"234.50","us"
plan_1137,"237.18","us"
plan_1127,"206.21","us"
plan_1121,"195.23","us"
plan_1115,"192.38","us"
plan_1123,"194.30","us"
plan_1131,"217.47","us"
plan_1138,"236.48","us"
plan_1143,"234.66","us"
plan_1152,"207.14","us"
plan_1136,"240.99","us"
plan_113,"206.98","us"
plan_1146,"231.90","us"
plan_1130,"212.64","us"
plan_1124,"198.82","us"
plan_1144,"261.02","us"
plan_1147,"227.87","us"
plan_114,"209.54","us"
plan_1153,"224.32","us"
plan_1132,"211.52","us"
plan_1155,"229.18","us"
plan_1161,"213.95","us"
plan_1133,"216.29","us"
plan_1145,"236.54","us"
plan_1139,"244","us"
plan_1140,"242.66","us"
plan_1141,"246.91","us"
plan_117,"207.14","us"
plan_1154,"210.82","us"
plan_1170,"230.05","us"
plan_1156,"229.50","us"
plan_1164,"204.96","us"
plan_1149,"234.43","us"
plan_1150,"235.01","us"
plan_115,"211.01","us"
plan_1165,"203.33","us"
plan_1158,"214.34","us"
plan_1142,"248.86","us"
plan_1162,"201.95","us"
plan_1171,"224.83","us"
plan_1148,"235.14","us"
plan_1157,"212.90","us"
plan_1179,"235.81","us"
plan_1151,"238.66","us"
plan_1167,"211.39","us"
plan_1163,"207.39","us"
plan_1174,"225.25","us"
plan_1173,"224.77","us"
plan_1172,"226.85","us"
plan_1159,"215.01","us"
plan_118,"199.33","us"
plan_1188,"232.64","us"
plan_1166,"208.77","us"
plan_1180,"234.78","us"
plan_1182,"232.45","us"
plan_116,"210.40","us"
plan_1176,"230.40","us"
plan_1160,"219.46","us"
plan_1168,"212.83","us"
plan_1175,"228.83","us"
plan_1197,"231.39","us"
plan_1191,"231.87","us"
plan_1183,"235.65","us"
plan_1189,"228.64","us"
plan_1169,"214.82","us"
plan_1177,"231.26","us"
plan_1181,"237.92","us"
plan_1192,"230.27","us"
plan_1185,"238.62","us"
plan_1198,"228.03","us"
